Time,Country Code,Value,Women's share of population ages 15+ living with HIV (%) ,"Employers, female (% of female employment) (modeled ILO estimate) ","Self-employed, male (% of male employment) (modeled ILO estimate) ","Self-employed, total (% of total employment) (modeled ILO estimate) ","Labor force with intermediate education, female (% of female working-age population with intermediate education) ",Agricultural land (% of land area),"Government expenditure on education, total (% of GDP) ","Female share of graduates in Arts and Humanities programmes, tertiary (%) ","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) ",Adjusted savings: natural resources depletion (% of GNI),Scientific and technical journal articles,Female share of employment in senior and middle management (%) 
2009,DNK,15.0,26.2,1.75999999046326,13.25,9.65999984741211,66.6600036621094,65.85,8.44888019561768,64.72127,78.72,0.995777560180507,9711.66,18.7999992370605
2009,DNK,10.0,26.2,1.75999999046326,13.25,9.65999984741211,66.6600036621094,65.85,8.44888019561768,64.72127,78.72,0.995777560180507,9711.66,18.7999992370605
2010,DNK,15.0,26.1,1.62000000476837,12.5500001907349,9.14999961853027,67.0100021362305,65.65,8.55955028533936,65.3932,77.94,1.01593477645678,10233.42,17.7000007629395
2010,DNK,8.0,26.1,1.62000000476837,12.5500001907349,9.14999961853027,67.0100021362305,65.65,8.55955028533936,65.3932,77.94,1.01593477645678,10233.42,17.7000007629395
2011,DNK,19.0,26.0,1.71000003814697,12.4799995422363,9.10000038146973,66.1800003051758,67.25,8.48486042022705,64.91255,77.56,1.35863638755882,11366.19,28.5
2011,DNK,7.0,26.0,1.71000003814697,12.4799995422363,9.10000038146973,66.1800003051758,67.25,8.48486042022705,64.91255,77.56,1.35863638755882,11366.19,28.5
2012,DNK,21.0,26.0,1.58000004291534,12.6099996566772,9.27000045776367,64.6500015258789,65.6,7.23782014846802,65.99528,76.9,1.26521746957683,12269.14,24.5
2012,DNK,6.0,26.0,1.58000004291534,12.6099996566772,9.27000045776367,64.6500015258789,65.6,7.23782014846802,65.99528,76.9,1.26521746957683,12269.14,24.5
2013,DNK,-8.0,26.0,1.73000001907349,12.3100004196167,9.13000011444092,64.4400024414063,65.7,8.49442958831787,66.7772,76.3,0.954891065682306,12804.85,23.7000007629395
2013,DNK,6.0,26.0,1.73000001907349,12.3100004196167,9.13000011444092,64.4400024414063,65.7,8.49442958831787,66.7772,76.3,0.954891065682306,12804.85,23.7000007629395
2014,DNK,5.0,25.9,1.70000004768372,12.0200004577637,8.97000026702881,63.2900009155273,66.315775,7.634850025177,67.80689,76.42,0.797731914194824,14024.94,23.3999996185303
2014,DNK,6.0,25.9,1.70000004768372,12.0200004577637,8.97000026702881,63.2900009155273,66.315775,7.634850025177,67.80689,76.42,0.797731914194824,14024.94,23.3999996185303
2015,DNK,0.0,25.9,1.78999996185303,11.8900003433228,8.86999988555908,62.3600006103516,65.847475,7.01041460037231,64.5522,76.86,0.439260844554109,14105.29,26.2000007629395
2015,DNK,5.0,25.9,1.78999996185303,11.8900003433228,8.86999988555908,62.3600006103516,65.847475,7.01041460037231,64.5522,76.86,0.439260844554109,14105.29,26.2000007629395
2016,DNK,8.0,25.9,1.82000005245209,11.5799999237061,8.78999996185303,62.3300018310547,65.6275,7.4769401550293,65.56574,77.43,0.287534744912893,14186.1,28.0
2016,DNK,5.0,25.9,1.82000005245209,11.5799999237061,8.78999996185303,62.3300018310547,65.6275,7.4769401550293,65.56574,77.43,0.287534744912893,14186.1,28.0
2017,DNK,2.0,25.9,1.50999999046326,11.1000003814697,8.34000015258789,62.3800010681152,65.7825,7.75243997573853,65.20967,77.89,0.395815903926038,14405.93,27.0
2017,DNK,5.0,25.9,1.50999999046326,11.1000003814697,8.34000015258789,62.3800010681152,65.7825,7.75243997573853,65.20967,77.89,0.395815903926038,14405.93,27.0
2018,DNK,8.0,25.9,1.55999994277954,10.8500003814697,8.14000034332275,62.4700012207031,65.8125,6.79277992248535,55.15012,78.2,0.476981359246903,14500.93,26.2999992370605
2018,DNK,4.0,25.9,1.55999994277954,10.8500003814697,8.14000034332275,62.4700012207031,65.8125,6.79277992248535,55.15012,78.2,0.476981359246903,14500.93,26.2999992370605
2019,DNK,-2.0,25.9,1.70000004768372,10.9899997711182,8.34000015258789,62.2000007629395,65.649125,6.88857984542847,55.15012,79.01,0.351826481931893,14532.28,26.6000003814697
2019,DNK,5.0,25.9,1.70000004768372,10.9899997711182,8.34000015258789,62.2000007629395,65.649125,6.88857984542847,55.15012,79.01,0.351826481931893,14532.28,26.6000003814697
2020,DNK,-1.0,25.9,1.70000004768372,13.8599996566772,7.01999998092651,61.0200004577637,65.499675,6.38000011444092,55.15012,71.93,0.113631700049912,15318.52,28.0
2020,DNK,4.0,25.9,1.70000004768372,13.8599996566772,7.01999998092651,61.0200004577637,65.499675,6.38000011444092,55.15012,71.93,0.113631700049912,15318.52,28.0
2021,DNK,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2000,EST,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2001,EST,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2002,EST,25.0,38.4,1.27999997138977,8.90999984741211,6.90000009536743,61.3499984741211,16.4708657702288,5.43460988998413,77.75281,68.21,0.655079136354107,509.77,37.2000007629395
2003,EST,18.0,38.6,1.88999998569489,11.2700004577637,8.5600004196167,65.2099990844727,19.5494220334985,5.27309989929199,76.20545,70.69,0.53208627250485,568.93,34.7999992370605
2004,EST,14.0,38.8,1.97000002861023,13.3500003814697,9.6899995803833,63.7400016784668,18.1740976645435,4.87674999237061,79.6875,70.71,0.611889194971339,631.83,41.2000007629395
2005,EST,9.0,38.9,1.25,10.9700002670288,8.0,63.75,20.8044350082567,4.81026983261108,81.5184,70.59,0.844274535757526,716.74,41.0
2006,EST,2.0,39.0,1.12000000476837,11.4399995803833,8.22999954223633,65.3600006103516,21.1960368011323,3.39286994934082,80.55976,72.84,0.893003415874687,891.83,39.5999984741211
2006,EST,27.0,39.0,1.12000000476837,11.4399995803833,8.22999954223633,65.3600006103516,21.1960368011323,3.39286994934082,80.55976,72.84,0.893003415874687,891.83,39.5999984741211
2007,EST,-7.0,39.1,1.58000004291534,12.6800003051758,9.14999961853027,64.1699981689453,21.5758433592828,4.61990976333618,80.79268,73.23,0.971029520646978,1024.4,34.9000015258789
2008,EST,-23.0,39.2,1.54999995231628,10.7299995422363,7.92999982833862,66.4899978637695,21.3918376975702,5.48403978347778,78.53152,74.33,1.32201783425096,1138.56,36.5999984741211
2009,EST,-28.0,39.3,1.74000000953674,11.539999961853,8.39000034332275,65.1999969482422,21.9815994338287,5.96005010604858,79.60275,74.18,0.751767919059132,1150.71,34.2999992370605
2010,EST,-30.0,39.4,1.37000000476837,11.6599998474121,8.52999973297119,65.4300003051758,22.3826374144845,5.51778984069824,80.24607,73.99,0.581538339036547,1407.66,38.4000015258789
2010,EST,27.0,39.4,1.37000000476837,11.6599998474121,8.52999973297119,65.4300003051758,22.3826374144845,5.51778984069824,80.24607,73.99,0.581538339036547,1407.66,38.4000015258789
2011,EST,-25.0,39.5,1.5900000333786,12.1199998855591,8.72000026702881,65.7799987792969,22.3165841000236,5.01449012756348,76.40891,74.84,0.718355969502699,1384.92,34.5999984741211
2012,EST,-24.0,39.6,1.35000002384186,12.4700002670288,8.85999965667725,64.1699981689453,22.550129747582,4.71772003173828,76.07868,74.97,0.82417267100568,1493.05,31.6000003814697
2013,EST,-22.0,39.7,1.44000005722046,12.2600002288818,9.14000034332275,63.9700012207031,22.1992178513918,4.84388017654419,76.16078,75.27,0.731733642840825,1449.46,32.7999992370605
2014,EST,-25.0,39.7,1.38999998569489,12.3400001525879,9.10999965667725,63.2999992370605,22.4062571888659,4.39433002471924,74.41685,75.4,0.785908942645014,1678.33,30.7999992370605
2014,EST,28.0,39.7,1.38999998569489,12.3400001525879,9.10999965667725,63.2999992370605,22.4062571888659,4.39433002471924,74.41685,75.4,0.785908942645014,1678.33,30.7999992370605
2015,EST,-19.0,39.7,1.89999997615814,12.0500001907349,9.42000007629395,65.1600036621094,22.8433402346446,5.14418983459473,71.66149,76.8,0.465476776252943,1542.15,27.7999992370605
2016,EST,-5.0,39.7,2.21000003814697,12.1999998092651,9.56999969482422,66.1600036621094,23.0733839429492,5.15763998031616,72.86943,77.63,0.314829889466987,1555.26,31.6000003814697
2017,EST,1.0,39.7,2.49000000953674,13.6899995803833,10.1999998092651,67.5699996948242,22.9707602339181,4.96131992340088,70.45075,78.89,0.519486628619975,1563.46,34.2999992370605
